Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
65,1,SSQ-110-23-L-D,"CONNECTOR, HEADER, FEMALE, STRAIGHT, 2 ROWS, 20 ROWS, 2.54mm, PTH",06-04997,J2,,,19926,,,
66,1,105164-0001,"CONNECTOR, USB, FEMALE, RIGHT ANGLE, 1 ROW, 5 PINS, PITCH 0.65mm, SMD",06-04998,J6,,,19988,,,
67,1,10uH,"INDUCTOR, CHIP, 10uH, -20%/+20%, 0.11A, -40DEGC/+85DEGC, 0805, SMD",03-06514,L1,,,17755,,,
68,1,2.4nH,"INDUCTOR, RF, CHIP, NON-MAGNETIC CORE, 2.4nH, -0.3nH/+0.3nH, 0.3A, -55DEGC/+125DEGC, 0402, SMD",03-07526,L11,,,17792,,,
69,1,2nH,"INDUCTOR, RF, CHIP, NON-MAGNETIC CORE, 2nH, -0.3nH/+0.3nH, 0.3A, -55DEGC/+125DEGC, 0402, SMD",03-07527,L12,,,17716,,,
70,1,2nH,"INDUCTOR, RF, CHIP, NON-MAGNETIC CORE, 2nH, -0.3nH/+0.3nH, 0.3A, -55DEGC/+125DEGC, 0402, SMD",03-07527,L13,,,17789,,,
71,1,2.4nH,"INDUCTOR, RF, CHIP, NON-MAGNETIC CORE, 2.4nH, -0.3nH/+0.3nH, 0.3A, -55DEGC/+125DEGC, 0402, SMD",03-07526,L21,,,17807,,,
72,1,NON_COMPONENT_LABEL_8mm,"NON COMPONENT, LABEL, PB-FREE, 8mm",19-00159,LBL1,,,22263,,,
73,1,CE_label,"NON COMPONENT, LABEL, CE",19-00351,LBL2,,,22264,,,
74,1,SNT-100-BK-G,"MECHANIC, SHUNT, CURRENT RATING 4.3A PER PIN, 2.54 X 5.08 X 6.1mm, BLACK",19-00498,M1,,,22281,,,
75,1,SNT-100-BK-G,"MECHANIC, SHUNT, CURRENT RATING 4.3A PER PIN, 2.54 X 5.08 X 6.1mm, BLACK",19-00498,M2,,,22282,,,
76,1,SNT-100-BK-G,"MECHANIC, SHUNT, CURRENT RATING 4.3A PER PIN, 2.54 X 5.08 X 6.1mm, BLACK",19-00498,M3,,,22283,,,
77,1,SNT-100-BK-G,"MECHANIC, SHUNT, CURRENT RATING 4.3A PER PIN, 2.54 X 5.08 X 6.1mm, BLACK",19-00498,M4,,,22284,,,
78,1,SNT-100-BK-G,"MECHANIC, SHUNT, CURRENT RATING 4.3A PER PIN, 2.54 X 5.08 X 6.1mm, BLACK",19-00498,M5,,,22285,,,
79,1,SNT-100-BK-G,"MECHANIC, SHUNT, CURRENT RATING 4.3A PER PIN, 2.54 X 5.08 X 6.1mm, BLACK",19-00498,M6,,,22286,,,
80,1,SNT-100-BK-G,"MECHANIC, SHUNT, CURRENT RATING 4.3A PER PIN, 2.54 X 5.08 X 6.1mm, BLACK",19-00498,M7,,,22287,,,
81,1,SNT-100-BK-G,"MECHANIC, SHUNT, CURRENT RATING 4.3A PER PIN, 2.54 X 5.08 X 6.1mm, BLACK",19-00498,M8,,,22288,,,
82,1,SNT-100-BK-G,"MECHANIC, SHUNT, CURRENT RATING 4.3A PER PIN, 2.54 X 5.08 X 6.1mm, BLACK",19-00498,M9,,,22289,,,
